number,title,year,director,cast,cast2,cast3,rating,summary
1,The Shawshank Redemption,1994,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,9.2,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,The Godfather,1972,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,9.1,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3,The Godfather: Part II,1974,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,9,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
4,The Dark Knight,2008,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,9,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5,12 Angry Men,1957,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,8.9,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6,Schindler's List,1993,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
7,The Lord of the Rings: The Return of the King,2003,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8,Pulp Fiction,1994,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,"The Good, the Bad and the Ugly",1966,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
10,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
11,Fight Club,1999,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
12,Forrest Gump,1994,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
13,Inception,2010,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,8.7,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
14,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
15,The Lord of the Rings: The Two Towers,2002,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
16,The Matrix,1999,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,8.6,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
17,Goodfellas,1990,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,8.6,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
18,One Flew Over the Cuckoo's Nest,1975,Milos Forman,Jack Nicholson,Louise Fletcher,Will Sampson,8.6,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
19,Seven Samurai,1954,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
20,Se7en,1995,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
21,City of God,2002,Fernando Meirelles,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
22,Parasite,2019,Bong Joon Ho,Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo,8.6,"A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure."
23,Life Is Beautiful,1997,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
24,The Silence of the Lambs,1991,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
25,It's a Wonderful Life,1946,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
26,Star Wars: Episode IV - A New Hope,1977,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
27,Saving Private Ryan,1998,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,8.5,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
28,Spirited Away,2001,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,8.5,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
29,The Green Mile,1999,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,8.5,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
30,Interstellar,2014,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,8.5,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
31,Léon: The Professional,1994,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
32,The Usual Suspects,1995,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
33,Harakiri,1962,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,8.5,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
34,The Lion King,1994,Roger Allers,Matthew Broderick,Jeremy Irons,James Earl Jones,8.5,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
