director
Frank Darabont
Francis Ford Coppola
Francis Ford Coppola
Christopher Nolan
Sidney Lumet
Steven Spielberg
Peter Jackson
Quentin Tarantino
Sergio Leone
Peter Jackson
David Fincher
Robert Zemeckis
Christopher Nolan
Irvin Kershner
Peter Jackson
Lana Wachowski
Martin Scorsese
Milos Forman
Akira Kurosawa
David Fincher
Bong Joon Ho
Fernando Meirelles
Roberto Benigni
Jonathan Demme
Frank Capra
George Lucas
Steven Spielberg
Hayao Miyazaki
Frank Darabont
Christopher Nolan
Luc Besson
Bryan Singer
Masaki Kobayashi
Roger Allers
Tony Kaye
James Cameron
Todd Phillips
Robert Zemeckis
Roman Polanski
Charles Chaplin
Alfred Hitchcock
Ridley Scott
Charles Chaplin
Olivier Nakache
Martin Scorsese
Damien Chazelle
Sergio Leone
Christopher Nolan
Michael Curtiz
Isao Takahata
Alfred Hitchcock
Giuseppe Tornatore
Ridley Scott
Sam Mendes
Steven Spielberg
Francis Ford Coppola
Christopher Nolan
Charles Chaplin
Florian Henckel von Donnersmarck
Quentin Tarantino
Anthony Russo
Stanley Kubrick
Stanley Kubrick
Anthony Russo
Andrew Stanton
Bob Persichetti
Hayao Miyazaki
Billy Wilder
Stanley Kubrick
Chan-wook Park
Billy Wilder
Christopher Nolan
Sergio Leone
James Cameron
Makoto Shinkai
Sam Mendes
Lee Unkrich
Mel Gibson
Wolfgang Petersen
Akira Kurosawa
Rajkumar Hirani
John Lasseter
Richard Marquand
Aamir Khan
Milos Forman
Quentin Tarantino
Quentin Tarantino
Gus Van Sant
Stanley Kubrick
Fritz Lang
Darren Aronofsky
Alfred Hitchcock
Nitesh Tiwari
Michel Gondry
Orson Welles
Thomas Vinterberg
Stanley Kubrick
Alfred Hitchcock
Stanley Kubrick
Guy Ritchie
Charles Chaplin
Vittorio De Sica
Stanley Donen
Brian De Palma
Martin Scorsese
Jean-Pierre Jeunet
David Lean
Lee Unkrich
George Roy Hill
Nadine Labaki
Fritz Lang
Sergio Leone
Akira Kurosawa
Asghar Farhadi
Billy Wilder
Robert Mulligan
Billy Wilder
Steven Spielberg
Denis Villeneuve
Pete Docter
Curtis Hanson
Terry Gilliam
Michael Mann
John McTiernan
Akira Kurosawa
Akira Kurosawa
Christopher Nolan
Clint Eastwood
Peter Farrelly
Oliver Hirschbiegel
Majid Majidi
Billy Wilder
Hayao Miyazaki
Elem Klimov
John Sturges
Akira Kurosawa
Hayao Miyazaki
Joseph L. Mankiewicz
Ron Howard
Martin Scorsese
Guillermo del Toro
Martin Scorsese
Juan José Campanella
Guy Ritchie
Martin Scorsese
John Huston
Stanley Kramer
Martin McDonagh
Çagan Irmak
Roman Polanski
Paul Thomas Anderson
Charles Chaplin
Alfred Hitchcock
James McTeigue
Pete Docter
Ingmar Bergman
Gavin O'Connor
Ethan Coen
Danny Boyle
David Lynch
Martin Scorsese
Lenny Abrahamson
M. Night Shyamalan
John Carpenter
Victor Fleming
Ridley Scott
David Lean
Steven Spielberg
Carol Reed
Elia Kazan
Andrew Stanton
Ingmar Bergman
James Mangold
Joel Coen
Clint Eastwood
Quentin Tarantino
Michael Cimino
Yasujirô Ozu
Peter Weir
Sriram Raghavan
Andrei Tarkovsky
Yavuz Turgul
Damián Szifron
Joel Coen
Bong Joon Ho
Adam Elliot
Sergio Pablos
Jim Sheridan
David Fincher
Mel Gibson
Frank Capra
Wes Anderson
Dean DeBlois
Clyde Bruckman
Buster Keaton
Richard Linklater
Ingmar Bergman
Steven Spielberg
Denis Villeneuve
Steve McQueen
Stuart Rosenberg
Sean Penn
Sidney Lumet
Henri-Georges Clouzot
Rob Reiner
George Miller
Terry Jones
Stanley Kubrick
Oliver Stone
Clint Eastwood
Lasse Hallström
Carl Theodor Dreyer
Ron Howard
James Mangold
William Wyler
Andrei Tarkovsky
Rakeysh Omprakash Mehra
Hayao Miyazaki
David Yates
François Truffaut
Peter Weir
Alejandro G. Iñárritu
Terry George
Tom McCarthy
Alfred Hitchcock
John G. Avildsen
Chan-wook Park
Pete Docter
Michael Powell
Billy Wilder
Mathieu Kassovitz
Frank Capra
Raoul Walsh
Rob Reiner
Ashutosh Gowariker
Richard Linklater
Kar-Wai Wong
Anurag Kashyap
Tate Taylor
James Cameron
Noah Baumbach
George Roy Hill
Wim Wenders
Katsuhiro Ôtomo
Rajkumar Hirani
Oriol Paulo
Ron Clements
James Gunn
Hideaki Anno
Nuri Bilge Ceylan
